student_id,first_name,last_name,gender,birth_date,department_id,gpa,university
SA065,Can,Polat,M,2007-05-13,DA4,Three,University A
SA066,Elif,Yılmaz,Other,1998-06-14,DA2,"2,04",University A
SA067,Elif,Demir,M,2005-07-05,DA5,Three,University A
SA068,Zeynep,Demir,Other,2004-10-23,DA2,3.83,University A
SA069,Can,Yalçın,Other,02-03-18,DA2,"3,31",University A
SA070,Ayşe,Şahin,Other,2004-09-25,DA5,"2,75",University A
SA071,Deniz,Aydın,F,2003/09/04,DA1,3.61,University A
SA072,Ahmet,Aydın,Other,07-04-18,DA2,Three,University A
SA073,Eren,Öztürk,M,03-03-20,DA5,2.51,University A
SA074,Can,Koç,F,06-06-01,DA5,3.16,University A
SA075,Merve,Aydın,F,21/06/2003,DA3,Four,University A
SA076,Gizem,Şahin,Other,97-02-30,DA1,Four,University A
SA077,Elif,Koç,Other,05-12-25,DA4,"2,18",University A
SA078,Ahmet,Kaya,M,2000/00/10,DA4,Four,University A
SA079,Zeynep,Aydın,Other,2003/02/02,DA3,"2,23",University A
SA080,Zeynep,Yılmaz,Other,04/01/2004,DA2,Four,University A
SA081,Fatma,Yalçın,M,16/02/1999,DA3,2.43,University A
SA082,Gizem,Öztürk,F,2001-01-28,DA1,"3,33",University A
SA083,Deniz,Koç,F,2000/00/10,DA4,2.91,University A
SA084,Can,Koç,F,2007-03-22,DA4,2.93,University A
SA085,Mehmet,Demir,Other,2001-05-29,DA2,Four,University A
SA086,Eren,Yalçın,F,2000-02-30,DA4,Four,University A
SA087,Ahmet,Şahin,Other,2004-12-18,DA5,"2,19",University A
SA088,Deniz,Kaya,M,2005-05-29,DA2,"3,05",University A
SA089,Ali,Polat,M,2000-02-30,DA3,Three,University A
SA090,Gizem,Koç,F,16/09/2005,DA3,"3,19",University A
SA091,Ahmet,Yılmaz,Other,09/07/2000,DA3,"2,14",University A
SA092,Can,Yalçın,Other,2000/00/10,DA4,"2,75",University A
SA093,Can,Öztürk,Other,03-07-16,DA1,Three,University A
SA094,Eren,Şahin,F,10/01/1999,DA5,Three,University A
SA095,Eren,Çelik,F,2000-02-30,DA3,"2,75",University A
SA096,Ayşe,Koç,M,2002/07/31,DA3,Three,University A
SA097,Ahmet,Koç,M,05-06-06,DA5,Three,University A
SA098,Zeynep,Yılmaz,M,2003-10-09,DA5,Four,University A
SA099,Zeynep,Yalçın,M,05-01-05,DA1,Three,University A
SA100,Merve,Koç,F,97-02-30,DA2,"2,75",University A
